year,era,champion,champion_score,runner_up,runner_up_score,margin,venue,attendance,replay,captain,manager
1958,sam_maguire,Dublin,2-12,Derry,1-09,6,,73371,,Kevin Heffernan,
1959,sam_maguire,Kerry,3-07,Galway,1-04,9,,85897,,Mick O'Connell,
1960,sam_maguire,Down,2-10,Kerry,0-08,8,,87768,,Kevin Mussen,
1961,sam_maguire,Down,3-06,Offaly,2-08,1,Croke Park,90556,,Paddy Doherty,
1962,sam_maguire,Kerry,1-12,Roscommon,1-06,6,Croke Park,75771,,Sean Og Sheehy,
1963,sam_maguire,Dublin,1-09,Galway,0-10,2,Croke Park,87106,,Des Foley,
1964,sam_maguire,Galway,0-15,Kerry,0-10,5,Croke Park,76498,,John Donnellan,
1965,sam_maguire,Galway,0-12,Kerry,0-09,3,Croke Park,77735,,Enda Colleran,
1966,sam_maguire,Galway,1-10,Meath,0-07,6,Croke Park,71569,,Enda Colleran,
1967,sam_maguire,Meath,1-09,Cork,0-09,3,Croke Park,70343,,Peter Darby,
1968,sam_maguire,Down,2-12,Kerry,1-13,2,Croke Park,71294,,Joe Lennon,
1969,sam_maguire,Kerry,0-10,Offaly,0-07,3,Croke Park,67828,,Johnny Culloty,
1970,sam_maguire,Kerry,2-19,Meath,0-18,7,Croke Park,71775,,Donie O'Sullivan,
1971,sam_maguire,Offaly,1-14,Galway,2-08,3,Croke Park,70789,,Willie Bryan,
1972,sam_maguire,Offaly,1-19,Kerry,0-13,9,Croke Park,66136,yes,Tony McTague,
1973,sam_maguire,Cork,3-17,Galway,2-13,7,Croke Park,73308,,Billy Morgan,
1974,sam_maguire,Dublin,0-14,Galway,1-06,5,Croke Park,71898,,Sean Doherty,
1975,sam_maguire,Kerry,2-12,Dublin,0-11,7,Croke Park,66346,,Mickey O'Sullivan,
1976,sam_maguire,Dublin,3-08,Kerry,0-10,7,Croke Park,73588,,Tony Hanahoe,
1977,sam_maguire,Dublin,5-12,Armagh,3-06,12,Croke Park,66542,,Tony Hanahoe,
1978,sam_maguire,Kerry,5-11,Dublin,0-09,17,Croke Park,71503,,Denis Moran,
1979,sam_maguire,Kerry,3-13,Dublin,1-08,11,Croke Park,72185,,Tim Kennelly,
1980,sam_maguire,Kerry,1-09,Roscommon,1-06,3,Croke Park,63854,,Ger Power,
1981,sam_maguire,Kerry,1-12,Offaly,0-08,7,Croke Park,61489,,Jimmy Deenihan,Mick O'Dwyer
1982,sam_maguire,Offaly,1-15,Kerry,0-17,1,Croke Park,62309,,Richie Connor,Eugene McGee
1983,sam_maguire,Dublin,1-10,Galway,1-08,2,Croke Park,71988,,Tommy Drumm,Kevin Heffernan
1984,sam_maguire,Kerry,0-14,Dublin,1-06,5,Croke Park,68365,,Ambrose O'Donovan,Mick O'Dwyer
1985,sam_maguire,Kerry,2-12,Dublin,2-08,4,Croke Park,69389,,Paidi O Se,Mick O'Dwyer
1986,sam_maguire,Kerry,2-15,Tyrone,1-10,8,Croke Park,68628,,Tommy Doyle,Mick O'Dwyer
1987,sam_maguire,Meath,1-14,Cork,0-11,6,Croke Park,68431,,Mick Lyons,Sean Boylan
1988,sam_maguire,Meath,0-13,Cork,0-12,1,Croke Park,64069,yes,Joe Cassells,Sean Boylan
1989,sam_maguire,Cork,0-17,Mayo,1-11,3,Croke Park,65519,,Dinny Allen,Billy Morgan
1990,pre_qualifier,Cork,0-11,Meath,0-09,2,Croke Park,65723,,Larry Tompkins,Billy Morgan
1991,pre_qualifier,Down,1-16,Meath,1-14,2,Croke Park,64500,,Paddy O'Rourke,Pete McGrath
1992,pre_qualifier,Donegal,0-18,Dublin,0-14,4,Croke Park,64547,,Anthony Molloy,Brian McEniff
1993,pre_qualifier,Derry,1-14,Cork,2-08,3,Croke Park,64500,,Henry Downey,Eamonn Coleman
1994,pre_qualifier,Down,1-12,Dublin,0-13,2,Croke Park,58684,,D. J. Kane,Pete McGrath
1995,pre_qualifier,Dublin,1-10,Tyrone,0-12,1,Croke Park,65000,,John O'Leary,Pat O'Neill
1996,pre_qualifier,Meath,2-09,Mayo,1-11,1,Croke Park,65802,yes,Tommy Dowd,Sean Boylan
1997,pre_qualifier,Kerry,0-13,Mayo,1-07,3,Croke Park,65601,,Liam Hassett,Paidi O Se
1998,pre_qualifier,Galway,1-14,Kildare,1-10,4,Croke Park,65886,,Ray Silke,John O'Mahony
1999,pre_qualifier,Meath,1-11,Cork,1-08,3,Croke Park,63276,,Graham Geraghty,Sean Boylan
2000,pre_qualifier,Kerry,0-17,Galway,1-10,4,Croke Park,64094,yes,Seamus Moynihan,Paidi O Se
2001,qualifier,Galway,0-17,Meath,0-08,9,Croke Park,70842,,Gary Fahey,John O'Mahony
2002,qualifier,Armagh,1-12,Kerry,0-14,1,Croke Park,79500,,Kieran McGeeney,Joe Kernan
2003,qualifier,Tyrone,0-12,Armagh,0-09,3,Croke Park,79394,,Peter Canavan,Mickey Harte
2004,qualifier,Kerry,1-20,Mayo,2-09,8,Croke Park,79749,,Dara O Cinneide,Jack O'Connor
2005,qualifier,Tyrone,1-16,Kerry,2-10,3,Croke Park,82112,,Brian Dooher,Mickey Harte
2006,qualifier,Kerry,4-15,Mayo,3-05,13,Croke Park,82289,,Declan O'Sullivan,Jack O'Connor
2007,qualifier,Kerry,3-13,Cork,1-09,10,Croke Park,82126,,Declan O'Sullivan,Pat O'Shea
2008,qualifier,Tyrone,1-15,Kerry,0-14,4,Croke Park,82204,,Brian Dooher,Mickey Harte
2009,qualifier,Kerry,0-16,Cork,1-09,4,Croke Park,82246,,Darran O'Sullivan,Jack O'Connor
2010,qualifier,Cork,0-16,Down,0-15,1,Croke Park,81604,,Graham Canty,Conor Counihan
2011,qualifier,Dublin,1-12,Kerry,1-11,1,Croke Park,82300,,Bryan Cullen,Pat Gilroy
2012,qualifier,Donegal,2-11,Mayo,0-13,4,Croke Park,82269,,Michael Murphy,Jim McGuinness
2013,qualifier,Dublin,2-12,Mayo,1-14,1,Croke Park,82274,,Stephen Cluxton,Jim Gavin
2014,qualifier,Kerry,2-09,Donegal,0-12,3,Croke Park,82184,,Fionn Fitzgerald,Eamonn Fitzmaurice
2015,qualifier,Dublin,0-12,Kerry,0-09,3,Croke Park,82243,,Stephen Cluxton,Jim Gavin
2016,qualifier,Dublin,1-15,Mayo,1-14,1,Croke Park,82249,yes,Stephen Cluxton,Jim Gavin
2017,qualifier,Dublin,1-17,Mayo,1-16,1,Croke Park,82243,,Stephen Cluxton,Jim Gavin
2018,super8,Dublin,2-17,Tyrone,1-14,6,Croke Park,82300,,Stephen Cluxton,Jim Gavin
2019,super8,Dublin,1-18,Kerry,0-15,6,Croke Park,82300,yes,Stephen Cluxton,Jim Gavin
2020,knockout_covid,Dublin,2-14,Mayo,0-15,5,Croke Park,0,,Stephen Cluxton,Dessie Farrell
2021,knockout_covid,Tyrone,2-14,Mayo,0-15,5,Croke Park,41150,,Padraig Hampsey,Feargal Logan & Brian Dooher
2022,qualifier,Kerry,0-20,Galway,0-16,4,Croke Park,82300,,Joe O'Connor,Jack O'Connor
2023,round_robin,Dublin,1-15,Kerry,1-13,2,Croke Park,82300,,James McCarthy,Dessie Farrell
2024,round_robin,Armagh,1-11,Galway,0-13,1,Croke Park,82164,,Aidan Forker,Kieran McGeeney
2025,round_robin,Kerry,1-26,Donegal,0-19,10,Croke Park,82109,,Gavin White,Jack O'Connor
